1205
6316028	5			2	40	4	5	2	8	3
6316029	5			2	51	3	5	3	2	3
6316049	5			2	73	3	5	1	7	3
6316053	5			2	22	4	1	1	1	3
6316055	5			2	84	2	5	3	7	3
6316064	5			1	55	4	2	3	10	4
6316069	4			2	36	4	3	1	8	3
6316081	5			1	70	3	5	99	7	4
6316086	5			2	49	4	1	2	4	3
6316090	5			1	41	4	1	3	4	2
6316091	5			1	45	3	3	1	10	4
6316098	5			1	70	4	2	3	7	2
6316134	5			1	28	4	1	99	1	2
6316150	5			2	54	3	1	3	4	3
6316155	5			1	23	4	1	1	10	3
6316163	5			2	61	4	5	1	7	3
6316169	5			2	75	4	5	1	7	3
6316184	5			2	43	4	1	3	1	4
6316206	5			2	27	4	1	2	4	3
6316213	5			2	73	3	1	3	7	3
6316222	5			2	60	3	5	2	7	5
6316223	5			2	27	4	1	2	4	3
6316233	5			1	53	4	1	2	5	1
6316236	5			2	58	4	4	2	1	3
6316238	5			2	69	3	5	1	7	3
6316243	5			2	50	4	1	1	1	2
6316244	5			2	46	4	1	1	5	2
6316253	5			2	84	3	5	1	7	4
6316261	5			2	54	3	5	1	1	3
6316273	5			1	54	4	3	1	4	3
6316278	5			1	79	4	2	1	7	4
6316302	5			1	75	4	5	3	7	3
6316309	5			1	74	3	5	3	7	99
6316313	5			1	54	3	5	1	5	3
6316319	5			2	47	3	2	2	1	3
6316331	4			2	28	4	1	1	1	3
6316334	5			2	58	2	5	1	7	5
6316354	5			2	75	4	4	3	7	4
6316360	5			2	72	2	5	3	7	3
6316384	5			1	38	4	1	1	5	3
6316385	5			1	77	4	1	1	7	2
6316398	5			2	77	2	5	3	7	4
6316403	5			1	18	2	1	1	9	3
6316411	5			1	81	4	1	3	7	2
6316416	5			1	27	4	1	1	10	3
6316417	5			2	42	2	1	2	4	3
6316426	5			2	23	2	1	2	4	2
6316444	5			1	57	3	3	1	7	3
6316475	5			2	60	3	5	2	1	3
6316498	5			2	70	4	5	3	7	3
6316503	5			2	84	4	5	1	7	2
6316523	5			2	78	3	5	3	7	2
6316524	5			2	55	4	1	1	4	3
6316530	5			2	48	3	2	3	8	5
6316534	3			1	26	3	1	1	4	3
6316547	4			1	40	3	1	3	5	3
6316554	5			1	37	3	3	2	5	3
6316558	5			1	42	4	1	2	5	3
6316563	4			2	47	4	1	2	7	2
6316565	5			1	35	4	1	1	10	2
6316595	5			1	42	4	1	3	6	3
6316605	5			1	40	4	5	3	1	4
6316628	5			1	74	2	5	99	7	3
6316641	5			2	42	4	1	2	8	3
6316654	5			2	53	3	1	3	7	4
6316659	5			2	55	4	1	3	7	3
